,rand_smi,cano_smi,Class,pIC50
11,[C@@H](Cc1cc(cc(F)c1)F)(NC(c1cc(cc(C(=O)N(CCC)CCC)c1)C)=O)[C@H](O)[C@@H]1[NH2+]CCN(C1=O)Cc1ccccc1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CCN(Cc3ccccc3)C2=O)c1,1,8.5228786
12,S1(=O)(=O)CCCCN1c1cc(cc(C(=O)N[C@H]([C@@H](C[NH2+]Cc2cccc(c2)C(F)(F)F)O)Cc2ccccc2)c1)NCC,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(N2CCCCS2(=O)=O)c1,1,8.5228786
13,C([NH2+][C@@H](C)C(NC1CCCCC1)=O)[C@H]([C@H](Cc1ccccc1)NC(=O)c1cc(NCC)cc(N(S(C)(=O)=O)c2ccccc2)c1)O,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+][C@@H](C)C(=O)NC2CCCCC2)cc(N(c2ccccc2)S(C)(=O)=O)c1,1,8.5228786
14,FC(F)([C@@H](COC)Oc1cc(cc(F)c1N)C[C@H]1[C@H](O)[C@H](CS(=O)C1)[NH2+]Cc1cccc(C(C)(C)C)c1)F,COC[C@@H](Oc1cc(C[C@@H]2CS(=O)C[C@H]([NH2+]Cc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,1,8.3979397
15,[NH2+](C[C@@H](O)[C@@H](NC(c1cc(cc(c1)C(N(CCC)CCC)=O)C)=O)Cc1cc(cc(F)c1)F)Cc1cc(ccc1)OC,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c1,1,8.3979397
16,c1c(C)cc(cc1C(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@H](O)[C@@H]1[NH2+]C[C@@H](C1)OCc1ccccc1)C(=O)N(CCC)CCC,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)C[NH2+]2)c1,1,8.3010302
17,C(N(CCC)CCC)(=O)c1cc(C)cc(C(N[C@H]([C@@H](C[NH2+]Cc2cccc(I)c2)O)Cc2cc(F)cc(F)c2)=O)c1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(I)c2)c1,1,8.3010302
18,Cc1cc(C(=O)N[C@@H](Cc2cc(cc(c2)F)F)[C@H](O)[C@@H]2[NH2+]CN(Cc3ccccc3)C2=O)cc(C(N(CCC)CCC)=O)c1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CN(Cc3ccccc3)C2=O)c1,1,8.3010302
19,C1N(S(=O)(=O)c2ccccc2)C[C@H]([C@@H](O)[C@@H](NC(c2cc(cc(c2)C)C(N(CCC)CCC)=O)=O)Cc2cc(cc(c2)F)F)[NH2+]C1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(S(=O)(=O)c3ccccc3)CC[NH2+]2)c1,1,8.3010302
20,c1(cc2[C@H](CC3(CCC3)Oc2nc1)[NH2+]C[C@@H](O)[C@H](Cc1ccc(F)cc1)NC(=O)C)CC(C)(C)C,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,8.3010302
21,C[C@H]([C@]1(NC(C)=O)C(=O)N([C@H](C(N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cc(OC)ccc2)=O)CCc2ccccc2)CC1)CC,CC[C@H](C)[C@@]1(NC(C)=O)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)C1=O,1,8.3010302
22,C([NH2+][C@@H]1c2cc(CC(C)(C)C)cnc2OC2(CCC2)C1)[C@@H](O)[C@@H](NC([C@H](OC)C)=O)Cc1cccc(-c2nccs2)c1,CO[C@H](C)C(=O)N[C@@H](Cc1cccc(-c2nccs2)c1)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,8.2596369
23,O=S(=O)(N(C)c1cc(C(N[C@@H](COCc2cc(cc(F)c2)F)[C@H](C[C@@H](C)C(N[C@@H](C(C)C)C(=O)NCc2ccccc2)=O)O)=O)cc(C(=O)N[C@H](C)c2ccccc2)c1)C,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COCc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1,1,8.1804562
24,CCO[C@H]1CC[NH2+][C@H](C1)[C@@H](O)[C@H](Cc1cc(cc(F)c1)F)NC(=O)c1cc(C)cc(c1)C(=O)N(CCC)CCC,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCC)CC[NH2+]2)c1,1,8.1549015
25,C(c1cc(C(=O)N[C@@H](Cc2ccccc2)C[NH2+][C@@H](C)C(NCC(C)C)=O)cc(N(C)S(=O)(C)=O)c1)(N[C@@H](c1ccc(F)cc1)C)=O,CC(C)CNC(=O)[C@H](C)[NH2+]C[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,1,8.0969095
26,C([O-])(=O)[C@@H](NC1c2ccc(Cl)cc2CC(C)(C)[NH+]=1)C[C@H]1[C@@H](CCC)SC=C1c1cn[nH]c1,CCC[C@H]1SC=C(c2cn[nH]c2)[C@H]1C[C@H](NC1=[NH+]C(C)(C)Cc2cc(Cl)ccc21)C(=O)[O-],1,8.0969095
27,c1cc(cc2c1Oc1ccc(cc1[C@@]12COC(=N1)N)OCC(C)C)-c1cncnc1,CC(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,1,8.0969095
28,C(c1cc(F)cc(F)c1)[C@@H]([C@@H]([C@@H]1[NH2+]Cc2c(cccc2)C1)O)NC([C@H](CCc1ccccc1)N1C(=O)[C@@](CC1)(NC(C)=O)CC(C)C)=O,CC(=O)N[C@]1(CC(C)C)CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2Cc3ccccc3C[NH2+]2)C1=O,1,8.0969095
29,O[C@H](C[NH2+][C@@H]1c2cc(sc2OC(C)(C1)C)CC(C)(C)C)[C@@H](NC(=O)C)Cc1ccccc1,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+][C@H]1CC(C)(C)Oc2sc(CC(C)(C)C)cc21,1,8.0705814
30,[C@@H]1([C@@H](CC(=O)C1)C(=O)N[C@@H](C(C)C)C(=O)[NH2+]CCCC)[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC([C@H](CC(C)C)NC(C)=O)=O,CCCC[NH2+]C(=O)[C@@H](NC(=O)[C@@H]1CC(=O)C[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,1,8.0
31,c1c(C(N[C@@H](Cc2cscc2)[C@H](CCCC)[NH3+])=O)cc(NC[C@H]2C[C@@H]2C)nc1N(C)S(C)(=O)=O,CCCC[C@H]([NH3+])[C@H](Cc1ccsc1)NC(=O)c1cc(NC[C@H]2C[C@@H]2C)nc(N(C)S(C)(=O)=O)c1,1,7.9586072
32,O(C)c1cccc(c1)C[NH2+]C[C@@H](O)[C@@H](NC(=O)c1cc(cc(c1)C(N(CCC)CCC)=O)C(=O)N)Cc1cc(cc(c1)F)F,CCCN(CCC)C(=O)c1cc(C(N)=O)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c1,1,7.9586072
33,C(C1CCCCC1)NC(=O)[C@H](CCC)Cc1c(nc2c(cc(-c3c(C)cccc3)cc2)c1)N,CCC[C@H](Cc1cc2cc(-c3ccccc3C)ccc2nc1N)C(=O)NCC1CCCCC1,1,7.9586072
34,C(c1cc(-c2oc([C@](C)([NH3+])Cc3ccccc3)nn2)cc(c1)N(C)S(=O)(C)=O)(N[C@@H](c1ccc(cc1)F)C)=O,C[C@@H](NC(=O)c1cc(-c2nnc([C@](C)([NH3+])Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,1,7.9208188
35,c1(c(cc([C@]2(c3cccc(-c4cncnc4)c3)[NH+]=C(N)C(C)=N2)cc1C)C)OC,COc1c(C)cc([C@@]2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=[NH+]2)cc1C,1,7.9208188
36,c1(F)cc(cc(c1)C[C@@H]([C@H](O)C[NH2+][C@@]1(c2cccc(c2)C(C)(C)C)CCc2n[nH]cc2C1)NC(C)=O)F,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+][C@@]1(c2cccc(C(C)(C)C)c2)CCc2n[nH]cc2C1,1,7.9208188
37,c1c(ncc(C#N)c1)C(Nc1ccc(c([C@@]2(C[C@@H](C(F)(F)F)OC(=N2)N)C)c1)F)=O,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C[C@@H](C(F)(F)F)OC(N)=N1,1,7.9208188
38,[NH2+]([C@@H](C)C(=O)NC1CCCCC1)C[C@H]([C@@H](NC(c1cc(cc(c1)NCC)N1CCCC1=O)=O)Cc1ccccc1)O,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+][C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,1,7.8860564
39,n1cc(C#N)ccc1C(=O)Nc1ccc(F)c(c1)[C@@]1([C@H]([C@@H](C(F)(F)F)OC(N)=N1)F)C,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@H](C(F)(F)F)[C@@H]1F,1,7.8860564
40,CCCN(C(c1cc(cc(C)c1)C(=O)N[C@@H](Cc1cc(cc(F)c1)F)[C@@H]([C@@H]1[NH2+]CC[C@@H](C1)C/C=C/C=C\C)O)=O)CCC,C/C=C\C=C\C[C@H]1CC[NH2+][C@@H]([C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C)cc(C(=O)N(CCC)CCC)c2)C1,1,7.8538718
41,O(c1ccc([C@@]2(c3cc(C#CCCCF)c(cc3)F)C(=O)N(C)C(N)=N2)cc1)C(F)F,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CCCCF)c2)N=C1N,1,7.8538718
42,C1CC1[NH2+]C[C@H]([C@H](Cc1ccccc1)NC(c1cc(N(C)S(C)(=O)=O)cc(c1)C(N[C@@H](c1ccccc1)C)=O)=O)O,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,1,7.8239088
43,c1ccccc1C[C@H](NC(=O)c1cc(N(S(C)(=O)=O)c2ccccc2)ccc1)[C@@H](C[NH2+][C@H](C(NC1CCCCC1)=O)C)O,C[C@H]([NH2+]C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(N(c2ccccc2)S(C)(=O)=O)c1)C(=O)NC1CCCCC1,1,7.8239088
44,C1C2(Oc3c([C@H](C2)[NH2+]C[C@@H](O)[C@@H](NC([C@@H](C)OC)=O)Cc2cc4c(cc2)OCO4)cc(cn3)CC(C)(C)C)CC1,CO[C@H](C)C(=O)N[C@@H](Cc1ccc2c(c1)OCO2)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,1,7.7746906
45,c12cc(OCCCCNc3cc(C(N[C@@H](C2)[C@H](O)C[NH2+]C2(CC2)c2cccc(c2)C(C)C)=O)cc(c3)COC)ccc1,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)C[NH2+]C1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2,1,7.7695513
46,C1CCCCCC(=O)N[C@H]([C@@H](C[NH2+][C@@H]2c3cc(CC)ccc3OC3(C2)CCC3)O)Cc2cccc1c2,CCc1ccc2c(c1)[C@@H]([NH2+]C[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCCCC(=O)N1)CC1(CCC1)O2,1,7.7695513
47,c12c(cn(c1ccc(c2)C#N)C(=O)N(C)CCCC)C(N[C@@H](Cc1cc(F)cc(c1)F)[C@H](O)C[NH2+]Cc1cccc(OC)c1)=O,CCCCN(C)C(=O)n1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)c2cc(C#N)ccc21,1,7.7447276
48,c1cc(NC(c2ncc(C#N)cc2)=O)cc(c1F)[C@@]1(C[C@@H](C(F)(F)F)OC(N)=N1)CF,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,1,7.7212462
49,CN1S(=O)(CCCc2c1cc(cc2NCC)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]Cc1cc(OC)ccc1)=O,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)cc2c1CCCS(=O)(=O)N2C,1,7.7212462
50,FC(Oc1ccc([C@@]2(c3ccc(c(c3)-c3cncnc3)F)C(=O)N(C)C(N)=N2)cc1)(F)F,CN1C(=O)[C@@](c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,1,7.6989698
51,CN1C(=N[C@@](C1=O)(c1cccc(-c2c(F)ccc(c2)F)c1)c1ccncc1)N,CN1C(=O)[C@@](c2ccncc2)(c2cccc(-c3cc(F)ccc3F)c2)N=C1N,1,7.6989698
52,[C@H](C[NH2+]Cc1cc(OC)ccc1)(O)[C@@H](NC(c1cc2c(c(c1)N1CCCC1=O)ccn2CC)=O)CC1=CC=CCC1,CCn1ccc2c(N3CCCC3=O)cc(C(=O)N[C@@H](CC3=CC=CCC3)[C@H](O)C[NH2+]Cc3cccc(OC)c3)cc21,1,7.6382723
53,n1c(ccc(C#N)c1)C(Nc1ccc(F)c(c1)[C@@]1(C(COC(=N1)N)(F)F)C)=O,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OCC1(F)F,1,7.6382723
54,O1C(C)(C[C@]2(c3c1ccc(c3)-c1cccc(c1)Cl)N=C(N)N(C2=O)C)C,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N,1,7.6197886
55,C([NH2+]Cc1cc(OC)ccc1)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2N(S(=O)(=O)CCN3CCN(CC)c(c1)c23)C,CCN1CCN2CCS(=O)(=O)N(C)c3cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc1c32,1,7.5850267
56,C1CCCCC1CC[C@@]1(CC2CCCCC2)C(N(C(=N)N1)Cc1ccc(cc1)CN1C[C@@H](NC1=O)CCC)=O,CCC[C@H]1CN(Cc2ccc(CN3C(=N)N[C@](CCC4CCCCC4)(CC4CCCCC4)C3=O)cc2)C(=O)N1,1,7.5686364
57,c12cccc(C[C@@]([NH3+])(C(=O)OCc3cc(-c4ccccc4C#N)cc(C(=O)N[C@H](CC1)c1ccccc1)c3)C)c2,C[C@@]1([NH3+])Cc2cccc(c2)CC[C@H](c2ccccc2)NC(=O)c2cc(cc(-c3ccccc3C#N)c2)COC1=O,1,7.5686364
58,c1c(C(=O)N[C@H](C)c2ccc(cc2)F)cc(cc1COC([C@@](Cc1ccccc1)([NH3+])C)=O)N(C)S(=O)(C)=O,C[C@@H](NC(=O)c1cc(COC(=O)[C@](C)([NH3+])Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,1,7.5686364
59,C[C@@H]1N(C)C(CCCCCCCC[C@H](C[C@H](NC1=O)[C@H](O)C[NH2+]Cc1cccc(C(C)C)c1)C)=O,CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N2)c1,1,7.5686364
60,F[C@@H]1[C@](C)(N=C(OC1)N)c1cc(ccc1F)NC(c1ccc(cn1)C#N)=O,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OC[C@@H]1F,1,7.5528421
61,c1c(cccc1-c1cncnc1)[C@@]1(c2cc(CC)nc(CC)c2)N=C(N)N(C1=O)C,CCc1cc([C@]2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc(CC)n1,1,7.5228786
62,c1ccc(C[C@H](NC(c2cc(NCC)cc(N3C(=O)CCC3)c2)=O)[C@H](O)C[NH2+]C(C)(C)CCCC(C)C)cc1,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C(C)(C)CCCC(C)C)cc(N2CCCC2=O)c1,1,7.4814858
63,C1CCCCc2cccc(c2)C[C@@H]([C@H](O)C[NH2+][C@@H]2c3cc(CC)ccc3OC3(C2)CCC3)NC(=O)CC1,CCc1ccc2c(c1)[C@@H]([NH2+]C[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCCCCC(=O)N1)CC1(CCC1)O2,1,7.4436975
64,Fc1cc(OC[C@@H]([C@@H](O)CC(=O)N[C@H](C(Nc2cc(C(=O)[O-])cc(c2)C(=O)[O-])=O)C(C)C)NC(=O)c2cc(cc(C(=O)N[C@@H](c3ccccc3)C)c2)N(S(=O)(=O)C)C)cc(F)c1,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1,1,7.4317985
65,[C@@H](NC([C@H](CCC([O-])=O)[NH3+])=O)(C(=O)N[C@@H](CC(=O)N)C(N[C@@H](CC(C)C)[C@H]([C@H]1[C@H](C(=O)N[C@H](C(=O)[O-])C)CCC1)O)=O)C(C)C,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])CCC(=O)[O-])C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)[O-],1,7.4089355
66,c1(C[C@H](NC(c2cc(NCC)cc(c2)N2C(CCC2)=O)=O)[C@H](O)C[NH2+]Cc2cccc(c2)C(F)(F)F)ccccc1,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,1,7.3979402
67,O(c1ccc([C@]2(c3cccc(-c4cnccc4)c3)N=C(N(C)C2=O)N)cc1C)C,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,1,7.3979402
68,c1c(C(Nc2cc([C@@]3(C)N=C(N)O[C@H]([C@@H]3F)C(F)(F)F)c(cc2)F)=O)ncc(C#N)c1,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@@H](C(F)(F)F)[C@@H]1F,1,7.3979402
69,C1(=[NH+][C@](C2N1CC(F)(CN=2)F)(c1ccncc1)c1cc(ccc1)-c1c(c(OC)ccc1)F)N,COc1cccc(-c2cccc([C@@]3(c4ccncc4)[NH+]=C(N)N4CC(F)(F)CN=C43)c2)c1F,1,7.3899999
70,[C@H]1(c2c(nn(CC(C)(C)C)c2)CC(C1)(C)C)[NH2+]C[C@H]([C@H](Cc1ccccc1)NC(C)=O)O,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+][C@H]1CC(C)(C)Cc2nn(CC(C)(C)C)cc21,1,7.3565474
71,O=C(Cn1ccc2ccc(cc12)C#N)NC(NCc1cc(Cl)c(NC(C)=O)c(c1)Cl)=N,CC(=O)Nc1c(Cl)cc(CNC(=N)NC(=O)Cn2ccc3ccc(C#N)cc32)cc1Cl,1,7.3565474
72,Fc1cc(cc(C[C@H](NC(=O)C)[C@H](O)C[NH2+]C2(c3cccc(c3)C(C)(C)C)CCCCC2)c1)F,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCCC1,1,7.3279023
73,C1c2ccc(cc2[C@@]2(C(N(C)C(N)=N2)=O)CC1(C)C)-c1cncnc1,CN1C(=O)[C@]2(CC(C)(C)Cc3ccc(-c4cncnc4)cc32)N=C1N,1,7.318759
74,C(c1ccccc1)[C@@H](N(C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@@H]([C@@H](NC([C@H](CCC(=O)N)N(C)C([C@H](C(C)C)NC(OC(C)(C)C)=O)=O)=O)Cc1ccccc1)O)CC(C)C)C)C(N1[C@H](CCC1)C(=O)OC)=O,COC(=O)[C@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,1,7.3115802
75,O=S1(C[C@H]([NH2+]Cc2cc(C(C)(C)C)ccc2)[C@H]([C@@H](C1)Cc1cc(c(N)c(c1)C[C@H](O)C(F)(F)F)F)O)=O,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(C[C@H](O)C(F)(F)F)c3)[C@@H]2O)c1,1,7.309804
76,c1c(ncc(C#N)c1)C(Nc1ccc(F)c(c1)[C@]1(N=C(N)OCC1(F)F)CF)=O,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)OCC3(F)F)c2)nc1,1,7.309804
77,c1c(NC(=O)c2ncc(cc2)C#N)ccc(c1[C@]1(N=C(N)OCC1)C)F,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CCOC(N)=N1,1,7.2923999
78,N(C([C@@H](NC(=O)C)CC(C)C)=O)[C@@H](CCSC)C(=O)N[C@H]([C@H](C[C@H](C(NCCCC)=O)C)O)CC(C)C,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,1,7.2757239
79,C([C@]1(c2cc(ccc2F)NC(c2ccc(C#N)cn2)=O)N=C(N)OCC1)(F)F,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)CCOC(N)=N3)c2)nc1,1,7.2676063
