,rand_smi,cano_smi,CT_TOX
76,C1([C@@H](C(C)C)NC(=O)C[C@H]2/C=C/CCSSC[C@@H](N1)C(=O)N/C(C(N[C@H](C(=O)O2)C(C)C)=O)=C\C)=O,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,0
77,NC(NC(c1c(nc(N)c(Cl)n1)N)=O)=[NH2+],NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N,0
78,C1O[C@@H]2[C@@H](CO[C@@H]2[C@H]1O)O[N+]([O-])=O,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0
79,[C@@H]1(O[C@@H]2[C@@H]([NH3+])C[C@H]([C@H](O[C@@H]3[C@@H]([C@@H]([NH3+])[C@H](O)[C@H](O3)CO)O)[C@H]2O)[NH3+])[C@@H](C[C@@H]([C@@H](C[NH3+])O1)O)[NH3+],[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,0
80,[NH3+][C@H]1C[C@H]([C@@H]([C@@H](O)[C@@H]1O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C[NH3+])O[C@H]1O[C@H](CO)[C@@H](O)[C@@H]([C@H]1O)[NH3+])NC([C@@H](O)CC[NH3+])=O,[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O,0
81,C([NH+]1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1)CO,OCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0
82,[C@H]1(CO)O[C@H](C[C@@H]1O)n1c(nc(nc1)N)=O,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,1
83,C([C@H]1CC[C@H](C([O-])=O)CC1)[NH3+],[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1,0
84,C(O)[C@@H]1NC(=O)[C@H](CNC(=O)[C@@H](NC(/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC1=O)=O)[C@H]1C[C@H](O)[NH+]=C(N)N1)NC(C[C@H](CCC[NH3+])[NH3+])=O,NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,0
85,C12CC3CC(C1)([C@@H](C(=O)N1[C@@H](C[C@@H]4C[C@@H]41)C#N)[NH3+])CC(O)(C3)C2,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])C12CC3CC(CC(O)(C3)C1)C2,0
86,[C@@H]12CC(=O)N1[C@@H](C(=O)[O-])/C(=C/CO)O2,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0
87,[NH3+][C@H]1[C@H](O[C@H](C[NH3+])[C@@H](O)[C@@H]1O)O[C@@H]1[C@@H]([NH3+])C[C@@H]([NH3+])[C@@H]([C@H]1O[C@H]1[C@H](O)[C@H](O[C@H]2O[C@@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2[NH3+])[C@@H](CO)O1)O,[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,0
88,[C@H]1(C[NH3+])O[C@H](O[C@H]2[C@H](O)[C@H]([C@H]([NH3+])C[C@@H]2[NH3+])O[C@@H]2[C@H](O)[C@@H]([NH3+])[C@@H]([C@H](O2)CO)O)[C@@H]([C@@H](O)[C@@H]1O)O,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H](O)[C@@H](O)[C@@H]1O,0
89,[C@@H]1(O[C@H](CO)[C@H]([C@@H]([C@H]1[NH3+])O)O)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1[NH3+])[NH3+])O)O[C@@H]1O[C@H](CO)[C@H]([C@H]1O)O[C@H]1O[C@@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]1[NH3+],[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,0
90,O=S(=O)([O-])O[C@@H]1[C@@H](OS(=O)(=O)[O-])[C@H](O[C@H]2[C@@H]([C@@H](OS([O-])(=O)=O)[C@@H](CO2)O)OS(=O)([O-])=O)CO[C@H]1O,O=S(=O)([O-])O[C@@H]1[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])OC[C@H]1O,0
91,[C@@H]12[C@@H](CO[C@@H]1[C@H](CO2)O)O,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0
92,[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+]([O-])=O,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0
93,C1(=O)[C@@H](CON1)[NH3+],[NH3+][C@@H]1CONC1=O,0
94,C([C@@H]1SC[C@H]2[C@@H]1NC(=O)N2)CCCC([O-])=O,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,0
95,n1cn([C@@H]2O[C@@H](CC2)CO)c2nc[nH]c(c21)=O,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,0
96,c1[nH]c2c(nc(N)[nH]c2n1)=S,Nc1nc(=S)c2[nH]cnc2[nH]1,0
97,[nH]1cnc2[nH]cnc(c12)=S,S=c1nc[nH]c2nc[nH]c12,0
98,N1(CCCCC1)c1nc(N)[n+]([O-])c(N)c1,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],0
99,[C@H]1(CCCN1C([C@@H](NC([C@@H]1CCC(=O)N1)=O)Cc1cnc[nH]1)=O)C(=O)N,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,0
100,[NH3+]CCc1cnc[nH]1,[NH3+]CCc1cnc[nH]1,0
101,[nH]1c(ncc(F)c1N)=O,Nc1[nH]c(=O)ncc1F,0
102,Clc1cc(c(Cl)c(Cc2c(c(Cl)cc(Cl)c2Cl)O)c1O)Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0
103,c1(I)cc(I)c(c(I)c1C(=O)[O-])NC(CCCCC(Nc1c(c(C(=O)[O-])c(cc1I)I)I)=O)=O,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,0
104,c1c(I)c(C(=O)[O-])c(I)c(NC(=O)CCOCCOCCOCCOCCC(Nc2c(c(c(I)cc2I)C([O-])=O)I)=O)c1I,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,0
105,c1c(c(Cl)cc(OCC#CI)c1Cl)Cl,Clc1cc(Cl)c(OCC#CI)cc1Cl,0
106,c1(C[C@H](CC(N2CCn3c(nnc3C2)C(F)(F)F)=O)[NH3+])cc(F)c(F)cc1F,[NH3+][C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0
107,S1C[C@H](O[C@H]1CO)n1cc(c(N)nc1=O)F,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,0
108,c1(F)c(=O)[nH]c(=O)[nH]c1,O=c1[nH]cc(F)c(=O)[nH]1,0
109,c1([nH]c(c(N(CCCl)CCCl)c[nH]1)=O)=O,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,0
110,FC(F)(F)c1cn([C@H]2C[C@@H]([C@@H](CO)O2)O)c(=O)[nH]c1=O,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,0
111,C(O)[C@@H]1[C@@H](O)C[C@H](n2c([nH]c(c(F)c2)=O)=O)O1,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,0
112,[nH]1c(c(cn(c1=O)[C@H]1C[C@@H]([C@@H](CO)O1)O)I)=O,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0
113,[nH]1c(=O)[nH]c(c(F)c1)=O,O=c1[nH]cc(F)c(=O)[nH]1,1
114,c1(cc(c(NC2NCC[NH+]=2)c(c1)Cl)Cl)N,Nc1cc(Cl)c(NC2=[NH+]CCN2)c(Cl)c1,0
115,[NH3+][C@@H](Cc1cc(c(c(c1)I)Oc1cc(c([O-])c(c1)I)I)I)C([O-])=O,[NH3+][C@@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],0
116,c1c(Oc2c(I)cc(cc2I)C[C@@H]([NH3+])C(=O)[O-])cc(c([O-])c1I)I,[NH3+][C@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],0
117,C(=O)(C(Nc1c(Cl)c(NC(C([O-])=O)=O)cc(C#N)c1)=O)[O-],N#Cc1cc(NC(=O)C(=O)[O-])c(Cl)c(NC(=O)C(=O)[O-])c1,0
118,c1(C(=O)O[C@H]2[C@H](OC(c3cc(c(c(c3)OC(=O)c3cc(O)c(c(c3)O)O)O)O)=O)O[C@H](COC(c3cc(OC(=O)c4cc(c(O)c(c4)O)O)c(O)c(O)c3)=O)[C@@H](OC(=O)c3cc(c(O)c(c3)O)OC(c3cc(O)c(c(c3)O)O)=O)[C@@H]2OC(=O)c2cc(c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)O)cc(O)c(O)c(c1)OC(c1cc(O)c(c(O)c1)O)=O,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,0
119,Clc1c(cc(cc1S(N)(=O)=O)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0
120,O=C([O-])[C@@H](NC(=O)c1ccc(cc1)NCC1CNc2[nH]c(N)nc(c2N1C=O)=O)CCC(=O)[O-].[Ca+2],Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],1
121,[C@H](NC(=O)c1ccc(NCC2N(C=O)c3c([nH]c(nc3=O)N)NC2)cc1)(CCC(O)=O)C(O)=O,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,1
122,c1(scc(CSCCC(=NS(N)(=O)=O)N)n1)[NH+]=C(N)N,NC(CCSCc1csc([NH+]=C(N)N)n1)=NS(N)(=O)=O,0
123,O=C(/C(=C\CC(=O)[O-])c1csc(n1)N)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)[O-],Nc1nc(/C(=C/CC(=O)[O-])C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=CCS[C@H]23)cs1,0
124,C1(CO1)CCl,ClCC1CO1,0
125,c1(ncnc2c1cn[nH]2)O,Oc1ncnc2[nH]ncc12,0
126,Clc1c(Cl)c(Cl)c(Cl)c2C(OC3(c4cc(c(c([131I])c4Oc4c([131I])c(c([131I])cc34)[O-])[O-])[131I])c21)=O,O=C1OC2(c3cc([131I])c([O-])c([131I])c3Oc3c2cc([131I])c([O-])c3[131I])c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0
127,C1C[C@@H]([NH3+])CN(CC1)c1c(Cl)c2n(cc(c(c2cc1F)=O)C(=O)[O-])C1CC1,[NH3+][C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2Cl)C1,0
128,C1(C(Cl)Cl)Nc2c(cc(S(=O)(=O)N)c(Cl)c2)S(=O)(=O)N1,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0
129,C1C(C2NS(=O)(c3cc(c(Cl)cc3N2)S(=O)(=O)N)=O)C2C=CC1C2,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,0
130,S1(NCNc2c1cc(S(N)(=O)=O)c(Cl)c2)(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0
131,c1(cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(cc2c1=O)F)C([O-])=O,O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,0
132,C1C2CC3CC(CC1C3)(C2)[NH3+],[NH3+]C12CC3CC(CC(C3)C1)C2,0
133,N1=c2c(cnc3CCOCc23)=N/C1=C1/NOC=C1,C1=C/C(=C2\N=c3cnc4c(c3=N2)COCC4)NO1,0
134,C(CC[C@@H](CC(=O)NC[C@H]1C(=O)N/C(C(=O)N[C@H](C(NC[C@H]([NH3+])C(N[C@H](C(=O)N1)CO)=O)=O)[C@H]1CC[NH+]=C(N)N1)=C/NC(N)=O)[NH3+])[NH3+],NC(=O)N/C=C1/NC(=O)[C@H](CNC(=O)C[C@@H]([NH3+])CCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])CNC(=O)[C@H]([C@H]2CC[NH+]=C(N)N2)NC1=O,0
135,c1(N)cc[nH+]cc1,Nc1cc[nH+]cc1,0
136,C([NH3+])Cc1cc[nH]n1,[NH3+]CCc1cc[nH]n1,0
137,c1(c(cccc1CC([O-])=O)C(=O)c1ccc(cc1)Br)N,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1,0
138,Clc1cccc(Cl)c1CC([NH+]=C(N)N)=O,NC(N)=[NH+]C(=O)Cc1c(Cl)cccc1Cl,0
139,c1(N)nc(N)nnc1-c1c(c(ccc1)Cl)Cl,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
140,N1C(CCc2ccc(OCCCC[NH+]3CCN(CC3)c3cccc(Cl)c3Cl)cc12)=O,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0
141,c1c(Cl)c(NC2=[NH+]CCN2)c(Cl)cc1,Clc1cccc(Cl)c1NC1=[NH+]CCN1,0
142,c1n(CC(CCc2ccc(Cl)cc2)Sc2c(cccc2Cl)Cl)cnc1,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,0
143,c1c(F)c(c(cc1)F)Cn1cc(C(=O)N)nn1,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0
144,c1(ccc2[NH+]=C3NC(CN3Cc2c1Cl)=O)Cl,O=C1CN2Cc3c(ccc(Cl)c3Cl)[NH+]=C2N1,0
145,n1c2c(c(c(cc2)NC2=[NH+]CCN2)Br)ncc1,Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,0
146,C1C[NH+]=C(Nc2c(Cl)ccc3c2nsn3)N1,Clc1ccc2nsnc2c1NC1=[NH+]CCN1,0
147,N(\c1cc(C(=O)[O-])c(O)cc1)=N/c1cc(c(O)cc1)C(=O)[O-],O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O,0
148,[NH3+]C[C@H](O)c1ccc(c(O)c1)O,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,0
