,rand_smi,cano_smi,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
56,C(CN)O/N=C(/c1ccc(cc1)C(F)(F)F)CCCCOC,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0
57,c1cc(c(cc1)C)CCO,Cc1ccccc1CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,c1(c(C)nc(c(n1)C)C)C,Cc1nc(C)c(C)nc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,C1(C)(CC(C)=CC(C1)O)C,CC1=CC(O)CC(C)(C)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,n1cc(nc(C)c1C)C,Cc1cnc(C)c(C)n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,O(C(c1ccccc1)=O)CC(C)C,CC(C)COC(=O)c1ccccc1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,C1[C@H](C(=C)C)CC=C(C)C1,C=C(C)[C@@H]1CC=C(C)CC1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,O=[N+]([O-])[O-].[Ca+2].[O-][N+](=O)[O-],O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Nc1ccc(N)c([N+]([O-])=O)c1,Nc1ccc(N)c([N+](=O)[O-])c1,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,
65,c12ccccc2OCC(N1)C,CC1COc2ccccc2N1,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
66,OC(=O)c1c(O)c(cc(c1)Cl)Cl,O=C(O)c1cc(Cl)cc(Cl)c1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
67,O=C(CCCCCCCCCCC)NCCCN(C)C,CCCCCCCCCCCC(=O)NCCCN(C)C,0.0,,0.0,,,,,,0.0,,,
68,CC(C)CCCCCOC(=O)CCS,CC(C)CCCCCOC(=O)CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,[O-][N+](=O)c1c(ccc([As](O)(O)=O)c1)O,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,O(C(=O)CCS)CC(COC(=O)CCS)(CC)COC(=O)CCS,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,c1(OCC=C)c(cc(cc1Br)Br)Br,C=CCOc1c(Br)cc(Br)cc1Br,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
72,F[B-](F)(F)F.[H+],F[B-](F)(F)F.[H+],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
73,[C@@H]1(CC[C@@H](C[C@@H]1O)C)C(C)C,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,c1cc(/C=C/c2ccccc2)ccc1,C(=C/c1ccccc1)\c1ccccc1,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0
75,c12c3c(ccc2cc(cc1)C)cccc3,Cc1ccc2c(ccc3ccccc32)c1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
76,Cn1c(=O)n(c(=O)c2c1ncn2CC1OCCO1)C,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,c1(=O)n([C@H]2[C@@H]([C@H](O)[C@H](O2)C)O)cc(c([nH]1)=O)F,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0
78,Oc1c(O)c2c(C[C@H]3N(CCc4cccc-2c34)C)cc1,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,0.0
79,N1(CC(=CCC1)C(=O)OC)C,COC(=O)C1=CCCN(C)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,c1(OC)ccc(C2C(c3ccccc3C2=O)=O)cc1,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,,,,,,,,0.0,,0.0,,
81,c1c([N+](=O)[O-])c(C)ccc1C(O)=O,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,O=C(O)c1ccc([N+](=O)[O-])c(c1)C,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,C(C(CCC)CCC)(=O)O[C@H]1C[C@H]2CC[C@H]([N+]2(C)C)C1,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
84,C(CC(C)O)CCC,CCCCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,c1cc(c(cc1)C(=O)[O-])O,O=C([O-])c1ccccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
86,c1ccc(cc1)C(N)=O,NC(=O)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Nc1oc2CCN(CCc2n1)CC,CCN1CCc2nc(N)oc2CC1,,,,,,,,0.0,,0.0,,
88,C1[C@@](C[C@@H]2N(C1)C[C@H]1c3ccccc3CCc3c1c2ccc3)(O)C(C)(C)C,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
89,O=C1N(C(=O)N(CO)C1N(C(NCO)=O)CO)CO,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,[C@H]1([C@H](C[C@H](n2cc(/C=C/Br)c([nH]c2=O)=O)O1)O)CO,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
91,c12C=Cc3ccccc3N(CCCN3CCN(CCO)CC3)c2cccc1,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
92,C(NC(C)C)[C@@H](O)COc1ccc(CC(=O)N)cc1,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,c1(ccc(cc1)F)C(c1ccc(F)cc1)CCCN1CCN(C(NCC)=O)CC1,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,0.0
94,[N+](=O)([O-])c1cc(N)c(cc1)N,Nc1ccc([N+](=O)[O-])cc1N,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0
95,[I-].[K+],[I-].[K+],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,[C@H]1(C[C@@](O)(C[C@H]([C@H]1O)O)C(=O)O)OC(C=Cc1ccc(c(O)c1)O)=O,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,c1(nc(c(cc1Cl)Cl)Cl)O,Oc1nc(Cl)c(Cl)cc1Cl,0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0
98,C(\C=O)=C/C=C/C,C/C=C/C=C/C=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,[N+](c1cc(cc([N+]([O-])=O)c1Cl)C(F)(F)F)([O-])=O,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0
100,C[Si](C)(C)N[Si](C)(C)C,C[Si](C)(C)N[Si](C)(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,C(C(=O)OCCCl)=C,C=CC(=O)OCCCl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
102,Cc1scc(c1N(C(=O)CCl)C(C)COC)C,COCC(C)N(C(=O)CCl)c1c(C)csc1C,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0
103,O=C(C1N2[C@@H]([C@H](NC(Cc3csc(n3)N)=O)C2=O)SCC=1CSc1n(CCN(C)C)nnn1)O,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
104,[O-]C(=O)c1c(/C(=N/NC(Nc2cc(F)cc(F)c2)=O)C)nccc1,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,C1OC(Cn2cncn2)(OC1C)c1ccc(Oc2ccc(cc2)Cl)cc1Cl,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.0,0.0,0.0,,,,,1.0,,0.0,,
106,O(CCN(CC)CC)C(=O)C(CC1CCCO1)Cc1c2c(ccc1)cccc2,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,c1c2c(S(=O)(=O)[C@@H](C)C[C@@H]2NCC)sc1S(N)(=O)=O,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,c1c2[C@@H](NCC)CN(CCCOC)S(=O)(c2sc1S(=O)(N)=O)=O,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,C(c1ccccn1)(CCN(C(C)C)C(C)C)(c1ccccc1)C(N)=O,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,[C@@]123[C@@H](N(C)c4ccccc43)[C@@H]3C[C@H]4[C@@H]([C@@H](O)N3[C@@H](C1)C4[C@H]2O)CC,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
111,C[C@@]12C(=CC(=O)C=C1)[C@@H](F)C[C@H]1[C@@H]3C[C@@H]4[C@](C(CO)=O)([C@]3(C[C@H](O)[C@H]21)C)OC(C)(C)O4,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0
112,FC(F)c1nc(c(C(SC)=O)c(CC(C)C)c1C(=O)SC)C(F)(F)F,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
113,OC(=O)C/C(C(=O)O)=C\C(O)=O,O=C(O)/C=C(\CC(=O)O)C(=O)O,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,C(\C1=C(C[C@H](CC1(C)C)OC(CCCCCCCCCCCCCCC)=O)C)=C/C(C)=C/C=C/C(C)=C/C=C\C=C(\C=C\C=C(C)\C=C\C1=C(C)C[C@H](CC1(C)C)OC(=O)CCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
115,O=C([C@H]([C@@H]([C@@H](O)CO)O)O)CO,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,,,,,,,,0.0,,0.0,,
116,O=C(Nc1ccccc1)C1S(=O)(CCOC=1C)=O,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0
117,c1(C(CNC)=O)cc(O)c(cc1)O,CNCC(=O)c1ccc(O)c(O)c1,,,,,,,,0.0,,0.0,,
118,C1C(=O)CCC(C(C)(C)C)C1,CC(C)(C)C1CCC(=O)CC1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
119,C1(=O)C(=C(O)[C@@H](N(C)C)[C@H]2[C@@]1(C(O)=C1C(=O)c3c(O)cccc3[C@@](C1C2)(C)O)O)C(NCN1CCCC1)=O,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,c1(Cl)cc2C(c3ccccc3)=NCCN(C)c2cc1,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,
121,C(c1ccc2[nH]cc(CCN(C)C)c2c1)n1cncn1,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
122,C(=O)([O-])CCCC,CCCCC(=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
