,rand_smi,cano_smi,Y
147,C(C(OC(=O)C)OC(=O)C)(=C)C,C=C(C)C(OC(C)=O)OC(C)=O,2.593
148,c1ccccc1C(=C)C,C=C(C)c1ccccc1,1.382
149,CC(C1CC=C(C(=O)C1)C)=C,C=C(C)C1CC=C(C)C(=O)C1,4.607
150,C1(CC=C(C)C(O)C1)C(=C)C,C=C(C)C1CC=C(C)C(O)C1,1.705
151,C1C(C(=C)C)CC=C(C)C1,C=C(C)C1CC=C(C)CC1,1.491
152,OCC1=CCC(CC1)C(C)=C,C=C(C)C1CC=C(CO)CC1,1.86
153,C(C(C)=C)C#N,C=C(C)CC#N,2.177
154,C(C)(OC(=C)C)=O,C=C(C)OC(C)=O,1.523
155,O=C(C(=CC(=O)O)C)O,CC(=CC(=O)O)C(=O)O,1.994
156,CC(NP(Oc1ccc(Cl)cc1)(=S)Oc1ccc(cc1)Cl)=N,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,5.006
157,O=C(C(C)(C)C)C,CC(=O)C(C)(C)C,2.215
158,C(C(=O)C)(C)=O,CC(=O)C(C)=O,1.736
159,CC(=O)C=C,C=CC(C)=O,3.369
160,C1(C(C)(CCCC=1C)C)C=CC(C)=O,CC(=O)C=CC1=C(C)CCCC1(C)C,1.622
161,CC1C(C=CC(=O)C)C(C)(CCC=1)C,CC(=O)C=CC1C(C)=CCCC1(C)C,1.622
162,C(C)(=O)C=O,CC(=O)C=O,1.791
163,C12C3N(C(C(=C3O)C(C)=O)=O)C(C2Cc2c3c1c[nH]c3ccc2)(C)C,CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,3.971
164,C(c1c2c(ccc1)cccc2)(=O)C,CC(=O)c1cccc2ccccc12,2.0380000000000003
165,c1cc(C)ccc1C(C)=O,CC(=O)c1ccc(C)cc1,1.982
166,c1(ccc(cc1)C(=O)C)C(C(NC(C(Cl)Cl)=O)CO)O,CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,2.465
167,CC(=O)c1ccc(cc1)S(NC(NC1CCCCC1)=O)(=O)=O,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.812
168,c1c(N)ccc(c1)C(C)=O,CC(=O)c1ccc(N)cc1,2.55
169,Oc1cc(ccc1C(=O)C)O,CC(=O)c1ccc(O)cc1O,1.73
170,O=[N+](c1cc(ccc1)C(=O)C)[O-],CC(=O)c1cccc([N+](=O)[O-])c1,1.706
171,c1ccc(cc1C(=O)C)N,CC(=O)c1cccc(N)c1,1.859
172,c1ccccc1C(C)=O,CC(=O)c1ccccc1,2.169
173,Clc1ccccc1C(=O)C,CC(=O)c1ccccc1Cl,1.929
174,c1cccc([N+](=O)[O-])c1C(=O)C,CC(=O)c1ccccc1[N+](=O)[O-],2.014
175,c12OC3(CC3)C(=O)c2cc(C(=O)C)cc1,CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,1.57
176,C1CC(CCO)CCN1CCCN1c2c(cccc2)Sc2c1cc(cc2)C(C)=O,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,3.022
177,CC(=O)C1C(=O)OC(=CC1=O)C,CC(=O)C1C(=O)C=C(C)OC1=O,2.527
178,CC1(C)C(O1)C(=O)C,CC(=O)C1OC1(C)C,1.851
179,CC(=O)CC(=O)Nc1ccccc1,CC(=O)CC(=O)Nc1ccccc1,1.581
180,CC(C)(NC(=O)C=C)CC(C)=O,C=CC(=O)NC(C)(C)CC(C)=O,1.927
181,CC(C)(CC(C)=O)O,CC(=O)CC(C)(C)O,1.463
182,O=C(CC(=O)C)C,CC(=O)CC(C)=O,3.26
183,c1ccc2c(c(C(CC(=O)C)c3ccc([N+](=O)[O-])cc3)c(=O)oc2c1)O,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,2.838
184,C(CC(C)=O)(c1c(oc2c(cccc2)c1O)=O)c1ccc(Cl)cc1,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,3.263
185,O=C(C)CCC(C)=O,CC(=O)CCC(C)=O,1.74
186,C(=O)(CCC(O)=O)C,CC(=O)CCC(=O)O,1.798
187,Oc1ccc(CCC(C)=O)cc1,CC(=O)CCc1ccc(O)cc1,2.095
188,CC(CCc1ccc(cc1)OC(=O)C)=O,CC(=O)CCc1ccc(OC(C)=O)cc1,1.832
189,c1ccccc1CCC(=O)C,CC(=O)CCc1ccccc1,1.666
190,O=C(C)CCC1C(=O)N(N(c2ccccc2)C1=O)c1ccccc1,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.651
191,C(=O)(CCl)C,CC(=O)CCl,2.966
192,CC(NCC(C)=O)(C)Cc1ccc(Cl)cc1,CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,2.982
193,O=C(C)CO,CC(=O)CO,1.527
194,C1N(CCN(C1)c1ccc(cc1)OCC1OC(OC1)(Cn1cncc1)c1ccc(Cl)cc1Cl)C(=O)C,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.505
195,C(C)(=O)N1CCOCC1,CC(=O)N1CCOCC1,1.324
196,ClC(Cl)(Cl)C(=O)NC(C)=O,CC(=O)NC(=O)C(Cl)(Cl)Cl,1.819
197,CC(=O)NC(c1c(cccc1)O)=O,CC(=O)NC(=O)c1ccccc1O,1.952
198,C(O)(C(NC(=O)C)CS)=O,CC(=O)NC(CS)C(=O)O,1.509
199,NC(=S)NC(C)=O,CC(=O)NC(N)=S,3.373
200,c1cc(NC(C)=O)cc(NS(=O)(=O)C(F)(F)F)c1C,CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,2.06
201,O=C(c1ccc(cc1)NC(C)=O)CCl,CC(=O)Nc1ccc(C(=O)CCl)cc1,1.993
202,c1c(-c2ccc(cc2)NC(C)=O)ccc(N)c1,CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142
203,c1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,1.7990000000000002
204,c1ccccc1NC(C)=O,CC(=O)Nc1ccccc1,2.228
205,C(Nc1ccncc1)(C)=O,CC(=O)Nc1ccncc1,2.485
206,c1c(nccc1)C(NNC(C)=O)=O,CC(=O)NNC(=O)c1ccccn1,2.425
207,C(O[Si](C)(OC(=O)C)OC(=O)C)(C)=O,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,2.029
208,O(C(=C)C#N)C(C)=O,C=C(C#N)OC(C)=O,3.0460000000000003
209,O=C(C)OC(CCCC(=C)C=C)(C)C,C=CC(=C)CCCC(C)(C)OC(C)=O,1.494
210,O=C(C)OC(=O)C,CC(=O)OC(C)=O,1.759
211,c1ccc(cc1)C(OC(C)=O)C(Cl)(Cl)Cl,CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1.595
212,O=C(C)OC(OC(=O)C)C(=C)Cl,C=C(Cl)C(OC(C)=O)OC(C)=O,2.779
213,O=C(C)OC(C(Cl)CCl)OC(C)=O,CC(=O)OC(OC(C)=O)C(Cl)CCl,2.855
214,C(C=C)(OC(=O)C)OC(C)=O,C=CC(OC(C)=O)OC(C)=O,3.655
215,C(=C)OC(=O)C,C=COC(C)=O,1.47
216,C(C=COC(=O)C)=C,C=CC=COC(C)=O,2.198
217,c1(Br)ccc(cc1)NC(c1cc(cc(c1OC(=O)C)Br)Cl)=S,CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1,2.189
218,[O-][N+](=O)c1c(c(cc(c1C)[N+](=O)[O-])C(C)(C)C)OC(C)=O,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.848
219,O(C(=O)C)c1c([N+]([O-])=O)cc(cc1C(C)(C)C)[N+]([O-])=O,CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,3.658
220,c1(C(N)=O)ccccc1OC(=O)C,CC(=O)Oc1ccccc1C(N)=O,1.998
221,c1(c(C=CC(O)=O)cccc1)OC(C)=O,CC(=O)Oc1ccccc1C=CC(=O)O,1.816
222,c1cc(OC(=O)C)ccc1C,CC(=O)Oc1ccc(C)cc1,1.898
223,c1cc2c(C(c3ccc(cc3)OC(C)=O)(C(N2C(C)=O)=O)c2ccc(OC(C)=O)cc2)cc1,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,2.948
224,c1ccc2OC(c3ccc(OC(=O)C)cc3)(C(=O)Nc2c1)c1ccc(OC(=O)C)cc1,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,1.717
225,C(Oc1c(I)cc(Oc2c(cc(cc2I)C(O)=O)I)cc1)(=O)C,CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.15
226,c1ccc(cc1)OC(=O)C,CC(=O)Oc1ccccc1,1.922
227,CC1C(=O)C(O)C2(CO)C(C=1)OC1C(C(C2(C21OC2)C)OC(=O)C)O,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947
228,O(C(=O)C)C1CCC(C(C)(C)C)CC1,CC(=O)OC1CCC(C(C)(C)C)CC1,1.598
229,O(C1CCCCC1)C(=O)C,CC(=O)OC1CCCCC1,1.325
230,CC(=O)OCC#N,CC(=O)OCC#N,3.491
231,CC12C=CC(=O)C=C2C(F)CC2C1(F)C(CC1(C2CC2OC(OC21C(=O)COC(C)=O)(C)C)C)O,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,4.548
232,CC(OCC(COC(C)=O)OC(=O)C)=O,CC(=O)OCC(COC(C)=O)OC(C)=O,1.862
233,O=C(OCC=C)C,C=CCOC(C)=O,2.887
234,C(C)(=O)OCC=C(C)C,CC(=O)OCC=C(C)C,1.631
235,C(C=C)OC=CCOC(C)=O,C=CCOC=CCOC(C)=O,1.622
236,S(c1ccncc1)CC(=O)NC1C(=O)N2C1SCC(=C2C(O)=O)COC(C)=O,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,1.413
237,c12OCOc2ccc(c1)COC(=O)C,CC(=O)OCc1ccc2c(c1)OCO2,1.966
238,c1c(cccc1)COC(C)=O,CC(=O)OCc1ccccc1,1.78
239,O=C(C)OCC1C(C(OC(C)=O)C(n2ncc(=O)[nH]c2=O)O1)OC(C)=O,CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O,1.491
240,c1c(CCOC(=O)C)cccc1,CC(=O)OCCc1ccccc1,1.651
241,C(OCCC1=CCC2CC1C2(C)C)(=O)C,CC(=O)OCCC1=CCC2CC1C2(C)C,1.842
242,C1CC(CCOC(=O)C)CCC1,CC(=O)OCCC1CCCCC1,1.726
243,N(CCOC(C)=O)(N=O)CCOC(C)=O,CC(=O)OCCN(CCOC(C)=O)N=O,1.64
244,CC(=O)OCCO,CC(=O)OCCO,1.101
245,O(CCOC(C)=O)C(=O)C,CC(=O)OCCOC(C)=O,1.329
246,O=C(OCCOCCOCCOC(C)=O)C,CC(=O)OCCOCCOCCOC(C)=O,1.016
247,C(=O)(C)OCCS(=O)(CCOC(C)=O)=O,CC(=O)OCCS(=O)(=O)CCOC(C)=O,1.231
248,O=C(C)OCCSCCOC(C)=O,CC(=O)OCCSCCOC(C)=O,1.401
249,OOC(C)=O,CC(=O)OO,1.694
250,c1(ccccc1)NC(=S)C,CC(=S)Nc1ccccc1,1.759
251,BrC(CCl)(CBr)C,CC(Br)(CCl)CBr,2.506
252,C(Br)(CBr)C,CC(Br)CBr,2.276
253,N(C(=O)Nc1ccc(cc1)Cl)(C)C(C#C)C,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.121
254,C1COCCN1C(C#N)C,CC(C#N)N1CCOCC1,3.207
255,C(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)C([N+]([O-])=O)C,CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],2.617
256,c1cccc(C(c2cccc(C(C)C(O)=O)c2)=O)c1,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.61
257,c1(C(C)C(=O)O)cc(c(cc1)N1CC=CC1)Cl,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,2.8560000000000003
258,C(C(C)c1cc(c(-c2ccccc2)cc1)F)(=O)O,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.443
259,OC(=O)C(c1ccc(C(=O)c2cccs2)cc1)C,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,3.567
260,c1(cn2c(cccc2)n1)-c1ccc(cc1)C(C)C(=O)O,CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,2.96
261,c1cc2CN(c3ccc(cc3)C(C)C(O)=O)C(c2cc1)=O,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.525
262,c1ccc(cc1)C(=O)c1sc(cc1)C(C(O)=O)C,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,3.158
263,c1c(cc2c(c1)c1c([nH]2)ccc(c1)Cl)C(C(O)=O)C,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,3.568
264,c12c(oc(-c3ccc(Cl)cc3)n1)ccc(C(C)C(O)=O)c2,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,3.408
265,CC(C#N)(C)C(C#N)(C)C,CC(C)(C#N)C(C)(C)C#N,3.544
266,c1(C(C(C)(c2cnccc2)C)=O)cccnc1,CC(C)(C(=O)c1cccnc1)c1cccnc1,2.638
267,c1(ccc(cc1)OC(C(=O)C(C)(C)C)n1ncnc1)Cl,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,2.459
268,O=C(C(C)(C)C)O,CC(C)(C)C(=O)O,2.055
269,c1(OC(C(O)C(C)(C)C)n2cncn2)ccc(cc1)Cl,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,2.633
270,CC(C)(c1cc(cc(C(C)(C)C)c1O)[N+](=O)[O-])C,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,3.002
271,O=[N+](c1cc(cc(C(C)(C)C)c1O)[N+]([O-])=O)[O-],CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.588
272,c1(c(cc(cc1)C(C)(C)C)O)O,CC(C)(C)c1ccc(O)c(O)c1,1.77
273,CC(C)(c1ccc(C(=O)O)cc1)C,CC(C)(C)c1ccc(C(=O)O)cc1,2.406
274,c1ccccc1C(c1ccccc1)(O)C1CCN(CCCC(c2ccc(cc2)C(C)(C)C)O)CC1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.975
275,CC(C)(C)c1ccc(cc1)O,CC(C)(C)c1ccc(O)cc1,1.707
